# strong X-ray emission lines with Emissivity>1e-18
# with 0.1 keV < energy < 10.1 keV
# www.atomdb.org/Webguide, uses atomDB 3.0.2
ion	ionization_stage	energy	wavelength	upper_lev	lower_lev	emissivity	kT	relative_intensity
#(-)	(-)	(keV)	(A)	(level)	(level)	(ph*cm3/s)	(keV)	(-)
Fe	XXVI	8.701	1.4249535686	12	1	1.081E-018	10.85	0
Fe	XXV	8.293	1.4950586036	23	1	2.19E-018	6.845	0
Fe	XXVI	8.253	1.5023047377	7	1	3.877E-018	10.85	0
Fe	XXVI	8.246	1.5035800388	6	1	1.908E-018	10.85	0
Fe	XXV	7.882	1.5730171276	13	1	6.677E-018	5.437	0
Ni	XXVII	7.806	1.5883321804	7	1	1.495E-018	6.845	0
Fe	XXVI	6.973	1.7780755772	4	1	2.351E-017	10.85	0
Fe	XXVI	6.952	1.7834466341	3	1	1.201E-017	10.85	0
Fe	XXV	6.7	1.8505255224	7	1	4.638E-017	5.437	0
Fe	XXIV_DRsat	6.69	1.8532916293	10089	6	1.065E-018	3.431	0
Fe	XXV	6.682	1.8555104759	6	1	8.297E-018	5.437	0
Fe	XXV	6.668	1.8594062687	5	1	9.209E-018	5.437	0
Fe	XXIV_DRsat	6.658	1.8621990087	10242	3	1.177E-018	3.431	0
Fe	XXIV_DRsat	6.655	1.8630384673	10247	2	2.843E-018	3.431	0
Fe	XXIV_DRsat	6.645	1.8658421369	10248	3	4.234E-018	3.431	0
Fe	XXV	6.637	1.8680911556	2	1	1.518E-017	5.437	0
Ca	XX	4.107	3.0188753348	4	1	2.152E-018	4.319	0
Ca	XX	4.1	3.0240295122	3	1	1.097E-018	4.319	0
Ca	XIX	3.902	3.1774784726	7	1	3.92E-018	2.725	0
Ca	XIX	3.861	3.2112201502	2	1	1.3E-018	2.165	0
Ar	XVIII	3.323	3.7311227806	4	1	4.054E-018	3.431	0
Ar	XVIII	3.318	3.7367453285	3	1	2.062E-018	3.431	0
Ar	XVII	3.14	3.9485735669	7	1	6.622E-018	1.719	0
Ar	XVII	3.124	3.968796735	5	1	1.024E-018	1.719	0
S	XVI	3.107	3.9905120695	7	1	3.127E-018	2.165	0
S	XVI	3.106	3.9917968448	6	1	1.584E-018	2.165	0
Ar	XVII	3.104	3.9943688789	2	1	2.667E-018	1.719	0
S	XV	3.033	4.0878737224	23	1	1.575E-018	1.366	0
S	XV	2.884	4.2990710818	13	1	4.675E-018	1.366	0
S	XVI	2.623	4.7268475029	4	1	2.116E-017	2.165	0
